x1,x2,x3,y
1.200,-0.800,0.000,21.755
1.200,0.000,-0.800,7.176
1.200,-0.800,1.000,43.045
0.000,1.200,-0.800,2.875
7.900,1.000,0.000,26.503
0.000,0.400,2.700,61.301
0.400,2.700,2.000,17.654
-1.300,0.000,3.230,72.512
0.000,-1.300,3.230,88.184
7.900,1.000,-2.000,4.653
1.800,0.000,1.600,49.000
0.000,-2.000,2.000,76.852
0.000,1.800,1.600,18.543
-0.500,0.600,2.500,51.000
7.900,0.000,1.000,64.107
-1.300,3.230,0.000,1.480
0.000,7.900,1.000,0.320
-2.000,0.000,2.000,40.131
-2.000,2.000,-1.000,0.995
0.000,-0.500,0.600,24.974
-0.500,0.000,0.600,18.243
